"";"Age_population";"Sexe_population";"Effectif_population";"id_population"
"2714";"[90,95)";"F";"3368";2714
"2715";"[16,20)";"H";"13988";2715
"2716";"[20,25)";"H";"15443";2716
"2717";"[25,30)";"H";"16614";2717
"2718";"[30,35)";"H";"19741";2718
"2719";"[35,40)";"H";"20536";2719
"2720";"[40,45)";"H";"22179";2720
"2721";"[45,50)";"H";"21954";2721
"2722";"[50,55)";"H";"21387";2722
"2723";"[55,60)";"H";"21217";2723
"2724";"[60,65)";"H";"23106";2724
"2725";"[65,70)";"H";"18304";2725
"2726";"[70,75)";"H";"13122";2726
"2727";"[75,80)";"H";"12116";2727
"2728";"[80,85)";"H";"8711";2728
"2729";"[85,90)";"H";"4739";2729
"2730";"[90,95)";"H";"1665";2730
"2731";"[16,20)";"F";"13150.4";2731
"2732";"[20,25)";"F";"13914";2732
"2733";"[25,30)";"F";"16353";2733
"2734";"[30,35)";"F";"19259";2734
"2735";"[35,40)";"F";"20174";2735
"2736";"[40,45)";"F";"21794";2736
"2737";"[45,50)";"F";"21730";2737
"2738";"[50,55)";"F";"21922";2738
"2739";"[55,60)";"F";"21752";2739
"2740";"[60,65)";"F";"24755";2740
"2741";"[65,70)";"F";"19530";2741
"2742";"[70,75)";"F";"14802";2742
"2743";"[75,80)";"F";"14859";2743
"2744";"[80,85)";"F";"12857";2744
"2745";"[85,90)";"F";"9402";2745
"2746";"[90,95)";"F";"4105";2746
"2747";"[16,20)";"H";"10596.8";2747
"2748";"[20,25)";"H";"14444";2748
"2749";"[25,30)";"H";"12226";2749
"2750";"[30,35)";"H";"12382";2750
"2751";"[35,40)";"H";"12593";2751
"2752";"[40,45)";"H";"13783";2752
"2753";"[45,50)";"H";"13843";2753
"2754";"[50,55)";"H";"13919";2754
"2755";"[55,60)";"H";"14120";2755
"2756";"[60,65)";"H";"13742";2756
"2757";"[65,70)";"H";"10494";2757
"2758";"[70,75)";"H";"7719";2758
"2759";"[75,80)";"H";"7207";2759
"2760";"[80,85)";"H";"5620";2760
"2761";"[85,90)";"H";"3382";2761
"2762";"[16,20)";"F";"10509.6";2762
"2763";"[20,25)";"F";"14956";2763
"2764";"[25,30)";"F";"12521";2764
"2765";"[30,35)";"F";"12831";2765
"2766";"[35,40)";"F";"12829";2766
"2767";"[40,45)";"F";"14178";2767
"2768";"[45,50)";"F";"14209";2768
"2769";"[50,55)";"F";"14423";2769
"2770";"[55,60)";"F";"14899";2770
"2771";"[60,65)";"F";"14662";2771
"2772";"[65,70)";"F";"11367";2772
"2773";"[70,75)";"F";"8743";2773
"2774";"[75,80)";"F";"9283";2774
"2775";"[80,85)";"F";"8408";2775
"2776";"[85,90)";"F";"6143";2776
"2777";"[90,95)";"F";"3030";2777
"2778";"[16,20)";"H";"8174.4";2778
"2779";"[25,30)";"H";"9638";2779
"2780";"[30,35)";"H";"10449";2780
"2781";"[35,40)";"H";"10800";2781
"2782";"[40,45)";"H";"12410";2782
"2783";"[45,50)";"H";"12179";2783
"2784";"[50,55)";"H";"12319";2784
"2785";"[55,60)";"H";"12395";2785
"2786";"[60,65)";"H";"13142";2786
"2787";"[65,70)";"H";"10127";2787
"2788";"[70,75)";"H";"7220";2788
"2789";"[75,80)";"H";"6719";2789
"2790";"[80,85)";"H";"5574";2790
"2791";"[85,90)";"H";"3292";2791
"2792";"[90,95)";"H";"1166";2792
"2793";"[16,20)";"F";"8259.2";2793
"2794";"[20,25)";"F";"11292";2794
"2795";"[25,30)";"F";"10026";2795
"2796";"[30,35)";"F";"10399";2796
"2797";"[35,40)";"F";"11316";2797
"2798";"[40,45)";"F";"12534";2798
"2799";"[45,50)";"F";"12861";2799
"2800";"[50,55)";"F";"12627";2800
"2801";"[55,60)";"F";"13438";2801
"2802";"[60,65)";"F";"14005";2802
"2803";"[65,70)";"F";"11319";2803
"2804";"[70,75)";"F";"8447";2804
"2805";"[75,80)";"F";"8933";2805
"2806";"[80,85)";"F";"8530";2806
"2807";"[85,90)";"F";"6534";2807
"2808";"[90,95)";"F";"2983";2808
"2809";"[16,20)";"H";"9092";2809
"2810";"[20,25)";"H";"9806";2810
"2811";"[25,30)";"H";"9715";2811
"2812";"[30,35)";"H";"10228";2812
"2813";"[35,40)";"H";"10844";2813
"2814";"[40,45)";"H";"12799";2814
"2815";"[45,50)";"H";"13283";2815
"2816";"[50,55)";"H";"13155";2816
"2817";"[55,60)";"H";"13217";2817
"2818";"[60,65)";"H";"13576";2818
"2819";"[65,70)";"H";"10072";2819
"2820";"[70,75)";"H";"6872";2820
"2821";"[75,80)";"H";"6364";2821
"2822";"[80,85)";"H";"4619";2822
"2823";"[85,90)";"H";"2430";2823
"2824";"[90,95)";"H";"848";2824
"2825";"[16,20)";"F";"8114.4";2825
"2826";"[20,25)";"F";"8766";2826
"2827";"[25,30)";"F";"9446";2827
"2828";"[30,35)";"F";"10442";2828
"2829";"[35,40)";"F";"10806";2829
"2830";"[40,45)";"F";"12647";2830
"2831";"[45,50)";"F";"13447";2831
"2832";"[50,55)";"F";"13451";2832
"2833";"[55,60)";"F";"13480";2833
"2834";"[60,65)";"F";"13868";2834
"2835";"[65,70)";"F";"10758";2835
"2836";"[70,75)";"F";"8090";2836
"2837";"[75,80)";"F";"8825";2837
"2838";"[80,85)";"F";"8130";2838
"2839";"[85,90)";"F";"5431";2839
"2840";"[90,95)";"F";"2423";2840
"2841";"[16,20)";"H";"7626.4";2841
"2842";"[20,25)";"H";"7601";2842
"2843";"[25,30)";"H";"8404";2843
"2844";"[30,35)";"H";"9268";2844
"2845";"[35,40)";"H";"9894";2845
"2846";"[40,45)";"H";"11429";2846
"2847";"[45,50)";"H";"11748";2847
"2848";"[50,55)";"H";"11449";2848
"2849";"[55,60)";"H";"11831";2849
"2850";"[60,65)";"H";"12598";2850
"2851";"[65,70)";"H";"9435";2851
"2852";"[70,75)";"H";"6710";2852
"2853";"[75,80)";"H";"6021";2853
"2854";"[80,85)";"H";"4604";2854
"2855";"[85,90)";"H";"2740";2855
"2856";"[90,95)";"H";"1012";2856
"2857";"[16,20)";"F";"6960.8";2857
"2858";"[20,25)";"F";"7365";2858
"2859";"[25,30)";"F";"8809";2859
"2860";"[30,35)";"F";"9747";2860
"2861";"[35,40)";"F";"9972";2861
"2862";"[40,45)";"F";"11697";2862
"2863";"[45,50)";"F";"11556";2863
"2864";"[50,55)";"F";"11708";2864
"2865";"[55,60)";"F";"12017";2865
"2866";"[60,65)";"F";"12874";2866
"2867";"[65,70)";"F";"9833";2867
"2868";"[70,75)";"F";"7557";2868
"2869";"[75,80)";"F";"7839";2869
"2870";"[80,85)";"F";"7182";2870
"2871";"[85,90)";"F";"5304";2871
"2872";"[90,95)";"F";"2627";2872
"2873";"[16,20)";"H";"3888.8";2873
"2874";"[20,25)";"H";"5226";2874
"2875";"[25,30)";"H";"4795";2875
"2876";"[30,35)";"H";"4688";2876
"2877";"[35,40)";"H";"4593";2877
"2878";"[40,45)";"H";"5001";2878
"2879";"[45,50)";"H";"5017";2879
"2880";"[50,55)";"H";"4674";2880
"2881";"[55,60)";"H";"4262";2881
"2882";"[60,65)";"H";"4558";2882
"2883";"[65,70)";"H";"3217";2883
"2884";"[70,75)";"H";"2237";2884
"2885";"[75,80)";"H";"2070";2885
"2886";"[80,85)";"H";"1439";2886
"2887";"[85,90)";"H";"728";2887
"2888";"[90,95)";"H";"269";2888
"2889";"[16,20)";"F";"3250.4";2889
"2890";"[20,25)";"F";"4196";2890
"2891";"[25,30)";"F";"4427";2891
"2892";"[30,35)";"F";"4464";2892
"2893";"[35,40)";"F";"4452";2893
"2894";"[40,45)";"F";"4875";2894
"2895";"[45,50)";"F";"4850";2895
"2896";"[50,55)";"F";"4938";2896
"2897";"[55,60)";"F";"4608";2897
"2898";"[60,65)";"F";"4664";2898
"2899";"[65,70)";"F";"3363";2899
"2900";"[70,75)";"F";"2727";2900
"2901";"[75,80)";"F";"2774";2901
"2902";"[80,85)";"F";"2445";2902
"2903";"[85,90)";"F";"1691";2903
"2904";"[90,95)";"F";"698";2904
"2905";"[16,20)";"H";"33627.2";2905
"2906";"[20,25)";"H";"41882";2906
"2907";"[25,30)";"H";"39177";2907
"2908";"[30,35)";"H";"40775";2908
"2909";"[35,40)";"H";"43192";2909
"2910";"[40,45)";"H";"44635";2910
"2911";"[45,50)";"H";"44904";2911
"2912";"[50,55)";"H";"41653";2912
"2913";"[55,60)";"H";"36201";2913
"2914";"[60,65)";"H";"32020";2914
"2915";"[65,70)";"H";"24942";2915
"2916";"[70,75)";"H";"17139";2916
"2917";"[75,80)";"H";"14315";2917
"2918";"[80,85)";"H";"10195";2918
"2919";"[85,90)";"H";"5124";2919
"2920";"[90,95)";"H";"1692";2920
"2921";"[16,20)";"F";"32024.8";2921
"2922";"[20,25)";"F";"39270";2922
"2923";"[25,30)";"F";"41035";2923
"2924";"[30,35)";"F";"43927";2924
"2925";"[35,40)";"F";"43602";2925
"2926";"[40,45)";"F";"45829";2926
"2927";"[45,50)";"F";"45266";2927
"2928";"[50,55)";"F";"42826";2928
"2929";"[55,60)";"F";"37301";2929
"2930";"[60,65)";"F";"34550";2930
"2931";"[65,70)";"F";"26896";2931
"2932";"[70,75)";"F";"20001";2932
"2933";"[75,80)";"F";"18898";2933
"2934";"[80,85)";"F";"15067";2934
"2935";"[85,90)";"F";"10163";2935
"2936";"[90,95)";"F";"4690";2936
"2937";"[16,20)";"H";"36477.6";2937
"2938";"[20,25)";"H";"50807";2938
"2939";"[25,30)";"H";"57324";2939
"2940";"[30,35)";"H";"59915";2940
"2941";"[35,40)";"H";"60837";2941
"2942";"[40,45)";"H";"57917";2942
"2943";"[45,50)";"H";"53481";2943
"2944";"[50,55)";"H";"46579";2944
"2945";"[55,60)";"H";"40185";2945
"2946";"[60,65)";"H";"36989";2946
"2947";"[65,70)";"H";"28428";2947
"2948";"[70,75)";"H";"19908";2948
"2949";"[75,80)";"H";"16582";2949
"2950";"[80,85)";"H";"13499";2950
"2951";"[85,90)";"H";"7804";2951
"2952";"[90,95)";"H";"3014";2952
"2953";"[16,20)";"F";"35641.6";2953
"2954";"[20,25)";"F";"52201";2954
"2955";"[25,30)";"F";"60785";2955
"2956";"[30,35)";"F";"64653";2956
"2957";"[35,40)";"F";"63988";2957
"2958";"[40,45)";"F";"61059";2958
"2959";"[45,50)";"F";"58456";2959
"2960";"[50,55)";"F";"52891";2960
"2961";"[55,60)";"F";"45875";2961
"2962";"[60,65)";"F";"43310";2962
"2963";"[65,70)";"F";"32983";2963
"2964";"[70,75)";"F";"24875";2964
"2965";"[75,80)";"F";"23789";2965
"2966";"[80,85)";"F";"22787";2966
"2967";"[85,90)";"F";"16740";2967
"2968";"[90,95)";"F";"8006";2968
"2969";"[16,20)";"H";"39408";2969
"2970";"[20,25)";"H";"53586";2970
"2971";"[25,30)";"H";"55115";2971
"2972";"[30,35)";"H";"58723";2972
"2973";"[35,40)";"H";"57396";2973
"2974";"[40,45)";"H";"55435";2974
"2975";"[45,50)";"H";"52284";2975
"2976";"[50,55)";"H";"47554";2976
"2977";"[55,60)";"H";"43179";2977
"2978";"[60,65)";"H";"37057";2978
"2979";"[65,70)";"H";"25503";2979
"2980";"[70,75)";"H";"17654";2980
"2981";"[75,80)";"H";"14200";2981
"2982";"[80,85)";"H";"10206";2982
"2983";"[85,90)";"H";"4983";2983
"2984";"[90,95)";"H";"1510";2984
"2985";"[16,20)";"F";"37840";2985
"2986";"[20,25)";"F";"54815";2986
"2987";"[25,30)";"F";"60533";2987
"2988";"[30,35)";"F";"61747";2988
"2989";"[35,40)";"F";"56396";2989
"2990";"[40,45)";"F";"54691";2990
"2991";"[45,50)";"F";"52177";2991
"2992";"[50,55)";"F";"49135";2992
"2993";"[55,60)";"F";"45267";2993
"2994";"[60,65)";"F";"38111";2994
"2995";"[65,70)";"F";"25434";2995
"2996";"[70,75)";"F";"18953";2996
"2997";"[75,80)";"F";"19065";2997
"2998";"[80,85)";"F";"16412";2998
"2999";"[85,90)";"F";"10451";2999
"3000";"[90,95)";"F";"4709";3000
"3001";"[16,20)";"H";"33032.8";3001
"3002";"[20,25)";"H";"45287";3002
"3003";"[25,30)";"H";"46390";3003
"3004";"[30,35)";"H";"48702";3004
"3005";"[35,40)";"H";"48455";3005
"3006";"[40,45)";"H";"48202";3006
"3007";"[45,50)";"H";"46255";3007
"3008";"[50,55)";"H";"42488";3008
"3009";"[55,60)";"H";"37571";3009
"3010";"[60,65)";"H";"33333";3010
"3011";"[65,70)";"H";"24983";3011
"3012";"[70,75)";"H";"16889";3012
"3013";"[75,80)";"H";"14283";3013
"3014";"[80,85)";"H";"11063";3014
"3015";"[85,90)";"H";"6011";3015
"3016";"[90,95)";"H";"2192";3016
"3017";"[16,20)";"F";"31734.4";3017
"3018";"[20,25)";"F";"46808";3018
"3019";"[25,30)";"F";"51026";3019
"3020";"[30,35)";"F";"52280";3020
"3021";"[35,40)";"F";"49516";3021
"3022";"[40,45)";"F";"49363";3022
"3023";"[45,50)";"F";"49489";3023
"3024";"[50,55)";"F";"45922";3024
"3025";"[55,60)";"F";"40798";3025
"3026";"[60,65)";"F";"37547";3026
"3027";"[65,70)";"F";"28171";3027
"3028";"[70,75)";"F";"20722";3028
"3029";"[75,80)";"F";"21288";3029
"3030";"[80,85)";"F";"18523";3030
"3031";"[85,90)";"F";"12867";3031
"3032";"[90,95)";"F";"5951";3032
"3033";"[16,20)";"H";"31995.2";3033
"3034";"[20,25)";"H";"40577";3034
"3035";"[25,30)";"H";"38420";3035
"3036";"[30,35)";"H";"39892";3036
"3037";"[35,40)";"H";"41503";3037
"3038";"[40,45)";"H";"40671";3038
"3039";"[45,50)";"H";"40282";3039
"3040";"[50,55)";"H";"39035";3040
"3041";"[55,60)";"H";"35245";3041
"3042";"[60,65)";"H";"31021";3042
"3043";"[65,70)";"H";"21734";3043
"3044";"[70,75)";"H";"13594";3044
"3045";"[75,80)";"H";"11452";3045
"3046";"[80,85)";"H";"8184";3046
"3047";"[85,90)";"H";"4121";3047
"3048";"[90,95)";"H";"1497";3048
"3049";"[16,20)";"F";"31000.8";3049
"3050";"[20,25)";"F";"40399";3050
"3051";"[25,30)";"F";"41851";3051
"3052";"[30,35)";"F";"43794";3052
"3053";"[35,40)";"F";"41967";3053
"3054";"[40,45)";"F";"42326";3054
"3055";"[45,50)";"F";"42860";3055
"3056";"[50,55)";"F";"41650";3056
"3057";"[55,60)";"F";"37760";3057
"3058";"[60,65)";"F";"32255";3058
"3059";"[65,70)";"F";"22205";3059
"3060";"[70,75)";"F";"16167";3060
"3061";"[75,80)";"F";"15603";3061
"3062";"[80,85)";"F";"13279";3062
"3063";"[85,90)";"F";"9234";3063
"3064";"[90,95)";"F";"4175";3064
